Edital,Total de Bolsa,Total de Projetos,Razão Bolsa/Projeto,Diferença,Valor da Bolsa,Valor anual por Bolsa,Custo anual,Salário mínimo,Razão Bolsa/SM,Bolsa IPC-Fipe
2015,2691,1298,"2,073",-,"R$ 400,00","R$ 4.800,00","R$ 12.916.800,00","R$ 880,00","0,45",-
2016,4236,2493,"1,699",1545,"R$ 400,00","R$ 4.800,00","R$ 20.332.800,00","R$ 937,00","0,43","R$ 439,94"
2017,4407,2498,"1,764",171,"R$ 400,00","R$ 4.800,00","R$ 21.153.600,00","R$ 954,00","0,42","R$ 453,53"
2018,4854,2892,"1,678",447,"R$ 400,00","R$ 4.800,00","R$ 23.299.200,00","R$ 998,00","0,40","R$ 460,46"
2019,4131,2611,"1,582",-723,"R$ 400,00","R$ 4.800,00","R$ 19.828.800,00","R$ 1.039,00","0,38","R$ 482,36"
2020,4116,2747,"1,498",-15,"R$ 400,00","R$ 4.800,00","R$ 19.756.800,00","R$ 1.045,00","0,38","R$ 493,84"
2021,5394,3286,"1,642",1278,"R$ 400,00","R$ 4.800,00","R$ 25.891.200,00","R$ 1.100,00","0,36","R$ 535,83"
2022,6916,3562,"1,942",1522,"R$ 400,00","R$ 4.800,00","R$ 33.196.800,00","R$ 1.212,00","0,33","R$ 601,66"
2023,5024,3719,"1,351",-1892,"R$ 500,00","R$ 6.000,00","R$ 30.144.000,00","R$ 1.302,00","0,38","R$ 627,54"
2024,4965,4000,"1,241",-59,"R$ 700,00","R$ 8.400,00","R$ 41.706.000,00","R$ 1.320,00","0,53","R$ 644,23"
2025,5093,5021,"1,014",128,"R$ 745,00","R$ 8.940,00","R$ 45.531.420,00","R$ 1.412,00","0,53","R$ 677,69"